编号,品名名称,幅宽(cm),克重(g),成份,白色(元),彩色(元),空差,版布价
801#,涤天丝（曲天丝）,150,55,90%天丝、10%涤,日/夜4.1,彩4.4,91,7
802#,天丝仙女条,150,65,75%天丝、25%锦纶,4,4.2,91,6
803#,天丝彩虹条（曲丝缎）,150,58,80%天丝、20%聚酯纤维,6.8,7,93,10
804#,天丝千鸟格,150,58,80%天丝、20%聚酯纤维,7.5,7.7,93,10
805#,加密花丝缎,150,65,80%涤、20%棉,3,3.1,93,5
806#,洛施棉（彩珠纱）,150,60,68%人棉、32%锦纶,3.4,3.6,91,6
807#,莺之麻（单丝提朵）,150,80,85%人棉、15%锦纶,5.5,5.7,91,9
808#,天丝缎（仙丝缎）,150,65,65%天丝、35%锦纶,3.7,3.9,91,6
809#,闪光天丝,150,60,75%天丝、25%锦纶,4.7,4.9,91,7
810#,亮丝麻,150,50,23%涤、77%涤,4.9,5.1,91,7
811#,天丝蜂蜜缎（天丝网纹缎）,150,65,36%天丝、25%锦纶、13%人棉、23%聚酯纤维,4.8,5,91,7
812#,天丝竖皱条,150,65,80%天丝、20%锦纶,6.4,6.6,93,8
813#,天丝大竖条（天丝小辫麻）,150,85,85%天丝、15%锦纶,3.5,3.7,91,6
814#,天丝闪光缎,148,68,25%尼龙、75%天丝,5.8,6,91,8
815#,桑丝宇母条（奢桑丝）,150,80,80%人棉、20%锦纶,3.8,4,91,6
816#,高密天丝666,150,120,65%人棉、35%聚酯纤维,4.7,4.9,91,7
817#,天丝竹节（加密高品质）,150,85,65%人棉、35%涤,彩色3.6/红橙3.9,3.4,91,6
818#,天丝亚运条,150,80,78%天丝、22%锦纶,4,4.2,91,7
822#,加厚鼎盛天丝,150,73,80%天丝、12%涤纶、8%醋酯,8.2,8.4,91,10
823#,天丝亚麻,155,85,35%锦纶、55%天丝、10%麻,7.1,7.3,91,10
825#,加厚曲天丝,150,80,85%天丝、15%锦纶,7.3,7.5,91,10
826#,冷面平纹,150,140,65%全棉、25%人棉、10%锦纶,5.1,彩色5.3/红橙6.6,91,7
827#,香格麻,150,160,5%人棉 44%聚酯纤维,5.3,5.5,91,7
828#,韩国棉,150,120,15%锦纶、85%人棉,4.7,4.9,91,7
829#,复古棉,150,145,15%锦纶、85%人棉,6.2,6.4,91,9
830#,干纹麻（亚麻平纹）,150,110,70%人棉18%锦纶12%亚麻,5.8,6,91,8
831#,乱麻格（单丝乱朵）,150,120,80%人棉、20%锦纶,4,4.2,91,7
832#,双股树皮缎,150,130,15%锦纶、85%人棉,4.2,4.4,91,7
B801#,曲天丝,150,55,90%天丝、10%涤,4,普4,,是米,5
703#,天丝麻,150,165-170,50%涤、50%人棉,,5.4,99,8
713#,天丝棉,150,140-145,30%涤、70%人棉,,6,99,8
726#,32支斜纹,150,145,60%涤、40%人棉,,6.3,99,8
746#,3236鱼亮牛仔,150,160,30%涤、70%人棉,,8.3,99,10
601#,75D珍珠雪纺,150,85,100%全涤,2.9,,是米,5
602#,75D雪纺缎,150,85,100%全涤,3.15,,是米,5
603#,30D单丝缎,160,35,100%全涤,3.5,3.7,是米,5
604#,全涤闪光天丝（可数码印花）,150,60,100%全涤,6,,93,7
605#,麻纱,150,65,100%全涤,色差(含普):底布白2.6,3.4,是米,5
606#,40支棉感竹节,150,95,100%聚酯纤维,4.6,,,
901#,2060洗水竹节,150,100,100%全棉,4.9,5.4,91,8
903#,4438#高品质,140,180,50%棉、30%亚麻、20%涤,6.2,麻本5.9/彩色6.5,99,9
904#,加厚砂洗竹节（高品质）,145,145,100%全棉,6.7,7.1,91,10
912#,加厚双层平布,150,125,100%棉,6.9,7.2,91,10
905#,双层绒布,135,125,100%全棉,6.3,黑6.8,91,9
906#,12+12粘麻竹节砂洗,140,210,70%粘、30%亚麻,9.3,麻本8.8/黑10.2,97,12
907#,20支洗水缎,140,130,100%全棉,4.9,彩5.3,91,8
908#,9088半工艺,150,60,100%全棉,3.8,黑4.3,是米,6
909#,9088全工艺,150,75,100%全棉,4.5,黑5.1,是米,6
910#,40支平纹仿天丝,156,125,100%全棉,6.2,黑6.6,92,9
911#,天然麻,150,140,50%棉、50%人棉,6.6,彩6.9,91,10
913#,24支砂洗竹节,145,110,100%棉,5.8,,91,8
914#,高密2060竹节,145,120,100%棉,5.6,黑6.1,91,8
